"heightagegroups","SEX","name","prev_less18.5","prev_18.5to20","prev_20to25","prev_25to30","prev_30to35","prev_35to40","prev_over40","TOTPOP","Age group (IL3)","Age group (IL)","code.x","meanheight","sdheight","region"
"18-29",0,"Bulgaria",0.132019246451485,0.197486029729654,0.474094922000469,0.127658070136174,0.0457751412594942,0.016302544350551,0.00666404620394547,373.492,"18-29","18-29",100,164.235070233466,6.11766666753474,"EUROPE"
"18-29",0,"Burkina Faso",0.104774865320753,0.146797788034589,0.558928893984222,0.140216631095219,0.0371910224526544,0.00761557922046815,0.00447521989209438,2347.051,"18-29","18-29",854,161.3066758775,6.55215024722621,"AFRICA"
"18-29",0,"Burundi",0.128755020258315,0.19781279088608,0.581394259921106,0.0719737886305103,0.0140915010684858,0.00356227355342181,0.00241036547185566,1249.967,"18-29","18-29",108,155.02065484329,6.14899593232944,"AFRICA"
"18-29",0,"Cambodia",0.176119499184379,0.180180469666904,0.49371286316479,0.119586821732119,0.0246069193924782,0.00412401736290697,0.00166932375299541,1684.659,"18-29","18-29",116,154.323080687448,5.31774836745936,"ASIA"
"18-29",0,"Cameroon",0.0680080031294249,0.102109287059863,0.499512880334222,0.229189084172693,0.0747792770955156,0.0185005174685929,0.00790095087997038,2878.856,"18-29","18-29",120,160.376083850799,6.87570776663564,"AFRICA"
"18-29",0,"Canada",0.0498888557155547,0.111657019008131,0.426565262935038,0.21290928333182,0.0952364819435364,0.0641790332591236,0.039564064217253,2896.699,"18-29","18-29",124,164.539377335778,6.81249430070826,"NORTHERN AM."
"18-29",0,"Cape Verde",0.110522920932326,0.0870779015531445,0.43722289428869,0.243473725720008,0.0898761943992531,0.0249172204507,0.00690914359779114,50.071,"18-29","18-29",132,163.040802715487,6.647952024294,"AFRICA"
"18-29",0,"Central African Republic",0.237004349538661,0.18850821864025,0.396272196317413,0.126738554856441,0.0306758586405136,0.0147016120140096,0.0060992112378593,579.353,"18-29","18-29",140,159.673452226531,6.92874600051851,"AFRICA"
"18-29",0,"Chad",0.17858872385737,0.195061582458546,0.512506794486291,0.0915041162120791,0.0138011201809419,0.00601501138743504,0.00252265125448128,1847.853,"18-29","18-29",148,162.160573653633,6.82683508532201,"AFRICA"
"18-29",0,"Chile",0.0207602605368839,0.0291888289572064,0.293326794861721,0.307750990370916,0.201403589992484,0.0942046400166775,0.0533648957212146,1717.6385,"18-29","18-29",152,159.174076539325,5.99227702707218,"LATIN AM. CARIBBEAN"
"18-29",0,"China",0.131051024600407,0.170282254552096,0.511732997349091,0.12964608747299,0.0422611552085447,0.00991133869902986,0.00511514236230909,93774.0045,"18-29","18-29",156,162.583600677611,5.85501331802516,"ASIA"
"18-29",0,"Colombia",0.0628297385463492,0.0964958769788641,0.410120467935822,0.260247076081862,0.109843771092998,0.0368373590476029,0.0236257098865908,5309.357,"18-29","18-29",170,157.591805817655,5.98228029410847,"LATIN AM. CARIBBEAN"
"18-29",0,"Comoros",0.0753912829163495,0.0888252589213382,0.418557342326351,0.269115983967567,0.10527472757638,0.0292318532429424,0.0136035504145112,84.59,"18-29","18-29",174,156.515638907496,6.14899593232944,"AFRICA"
"18-29",0,"Congo",0.133091852017283,0.16766027587364,0.501543357477596,0.140874031372748,0.0408800641864031,0.0132437318732664,0.00270668696779234,580.095,"18-29","18-29",178,158.741436796494,6.93763174997732,"AFRICA"
"18-29",0,"Costa Rica",0.0445911447742216,0.0643249277232013,0.347318689176498,0.319057301473245,0.14287226551335,0.0489415117339556,0.0328941601738665,462.139,"18-29","18-29",188,159.98590450578,6.58037916399165,"LATIN AM. CARIBBEAN"
"18-29",0,"Croatia",0.0727364177341399,0.105374360323368,0.497800592907272,0.228975699405392,0.0639394487485526,0.0179463970489899,0.0132270838164498,237.845,"18-29","18-29",191,166.657590705992,6.06184782048171,"EUROPE"
